algo_name,thread,cache_mb,time,res
dfs,1,4096,1837234107,50000000
dfs,1,4096,2022900541,50000000
dfs,1,4096,1891046341,50000000
dfs,2,4096,883393588,50000000
dfs,2,4096,882494462,50000000
dfs,2,4096,882758166,50000000
dfs,4,4096,457728699,50000000
dfs,4,4096,460786166,50000000
dfs,4,4096,457210860,50000000
dfs,8,4096,241773051,50000000
dfs,8,4096,242433762,50000000
dfs,8,4096,243448420,50000000
dfs,16,4096,137424871,50000000
dfs,16,4096,136081487,50000000
dfs,16,4096,136200399,50000000
dfs,32,4096,84968938,50000000
dfs,32,4096,84826532,50000000
dfs,32,4096,85394704,50000000
dfs,64,4096,60712082,50000000
dfs,64,4096,60642619,50000000
dfs,64,4096,61839305,50000000
dfs,128,4096,51015125,50000000
dfs,128,4096,50714480,50000000
dfs,128,4096,50642711,50000000
dfs,256,4096,50836339,50000000
dfs,256,4096,48778897,50000000
dfs,256,4096,50090876,50000000
