algo_name,thread,cache_mb,time,res
dfs,1,4,221988,1087562
dfs,1,4,211745,1087562
dfs,1,4,212418,1087562
dfs,2,4,128516,1087562
dfs,2,4,125289,1087562
dfs,2,4,127338,1087562
dfs,4,4,98884,1087562
dfs,4,4,91567,1087562
dfs,4,4,90682,1087562
dfs,8,4,62544,1087562
dfs,8,4,63003,1087562
dfs,8,4,66537,1087562
dfs,16,4,59897,1087562
dfs,16,4,67993,1087562
dfs,16,4,71554,1087562
dfs,32,4,50676,1087562
dfs,32,4,49627,1087562
dfs,32,4,57846,1087562
dfs,64,4,94613,1087562
dfs,64,4,99109,1087562
dfs,64,4,80457,1087562
dfs,128,4,87003,1087562
dfs,128,4,89421,1087562
dfs,128,4,105645,1087562
