algo_name,thread,cache_mb,time,init_time,res,system
bfs,8,1,117384.99999999996,1121840.0,0,Mosaic
bfs,8,1,104676.0,1110719.0,0,Mosaic
bfs,8,1,104378.99999999999,1145933.0,0,Mosaic
bfs,8,2,127540.99999999999,1122322.0,0,Mosaic
bfs,8,2,107739.0,1132077.0,0,Mosaic
bfs,8,2,120146.99999999999,1148409.0,0,Mosaic
bfs,8,3,122721.0,1113729.0,0,Mosaic
bfs,8,3,111226.00000000001,1117758.0,0,Mosaic
bfs,8,3,120189.0,1127352.0,0,Mosaic
bfs,8,4,122744.00000000001,1123178.0,0,Mosaic
bfs,8,4,126933.0,1139658.0,0,Mosaic
bfs,8,4,125094.99999999999,1122857.0,0,Mosaic
bfs,8,5,116832.99999999999,1114776.0,0,Mosaic
bfs,8,5,133791.00000000003,1126116.0,0,Mosaic
bfs,8,5,123754.0,1110017.0,0,Mosaic
bfs,8,10,116785.0,1138905.0,0,Mosaic
bfs,8,10,125574.99999999999,1127518.0,0,Mosaic
bfs,8,10,131206.0,1136317.0,0,Mosaic
bfs,8,25,142551.00000000006,1144130.0,0,Mosaic
bfs,8,25,143995.0,1099968.0,0,Mosaic
bfs,8,25,134121.0,1134656.0,0,Mosaic
bfs,8,50,124068.99999999999,1152927.0,0,Mosaic
bfs,8,50,140836.0,1157239.0,0,Mosaic
bfs,8,50,154179.99999999994,1121669.0,0,Mosaic
