algo_name,thread,cache_mb,time,res
randomwalk,1,8,52665936,1134500
randomwalk,1,8,54372875,1134500
randomwalk,1,8,52633061,1134500
randomwalk,2,8,31672801,1134500
randomwalk,2,8,32306871,1134500
randomwalk,2,8,33925283,1134500
randomwalk,4,8,20400886,1134500
randomwalk,4,8,19248852,1134500
randomwalk,4,8,19750499,1134500
randomwalk,8,8,12718269,1134500
randomwalk,8,8,13065262,1134500
randomwalk,8,8,13511224,1134500
randomwalk,16,8,9321322,1134500
randomwalk,16,8,8969944,1134500
randomwalk,16,8,8435581,1134500
randomwalk,32,8,7886913,1134500
randomwalk,32,8,8164850,1134500
randomwalk,32,8,8261052,1134500
randomwalk,64,8,11714160,1134500
randomwalk,64,8,11872756,1134500
randomwalk,64,8,12170290,1134500
randomwalk,128,8,20662054,1134500
randomwalk,128,8,20871154,1134500
randomwalk,128,8,19986933,1134500
randomwalk,256,8,36241301,1134500
randomwalk,256,8,36595628,1134500
randomwalk,256,8,32887111,1134500
