algo_name,thread,cache_mb,time,res
bfs_blocked_blocked,1,1024,266127020,65608366
bfs_blocked_blocked,1,1024,238243550,65608366
bfs_blocked_blocked,1,1024,233543507,65608366
bfs_blocked_blocked,2,1024,148674280,65608366
bfs_blocked_blocked,2,1024,146902219,65608366
bfs_blocked_blocked,2,1024,147546219,65608366
bfs_blocked_blocked,4,1024,89797184,65608366
bfs_blocked_blocked,4,1024,99440389,65608366
bfs_blocked_blocked,4,1024,94856905,65608366
bfs_blocked_blocked,8,1024,73571694,65608366
bfs_blocked_blocked,8,1024,72188496,65608366
bfs_blocked_blocked,8,1024,70101453,65608366
bfs_blocked_blocked,16,1024,48999439,65608366
bfs_blocked_blocked,16,1024,49943729,65608366
bfs_blocked_blocked,16,1024,50012521,65608366
bfs_blocked_blocked,32,1024,37681053,65608366
bfs_blocked_blocked,32,1024,38424911,65608366
bfs_blocked_blocked,32,1024,37229032,65608366
bfs_blocked_blocked,64,1024,34948792,65608366
bfs_blocked_blocked,64,1024,34575710,65608366
bfs_blocked_blocked,64,1024,34396819,65608366
bfs_blocked_blocked,128,1024,35718693,65608366
bfs_blocked_blocked,128,1024,36085744,65608366
bfs_blocked_blocked,128,1024,35436756,65608366
bfs_blocked_blocked,256,1024,34468828,65608366
bfs_blocked_blocked,256,1024,34538356,65608366
bfs_blocked_blocked,256,1024,34174262,65608366
