algo_name,thread,cache_mb,time,init_time,res,system
cc,8,128,255169211.00000003,10817453.0,0,Mosaic
cc,8,128,256134322.0,11006436.0,0,Mosaic
cc,8,128,253447965.00000003,10524428.0,0,Mosaic
cc,8,256,256393449.0,11403856.0,0,Mosaic
cc,8,256,257054885.0,10857019.0,0,Mosaic
cc,8,256,257527105.00000003,10859393.0,0,Mosaic
cc,8,512,259467811.00000006,10850963.0,0,Mosaic
cc,8,512,259643064.99999994,10905020.0,0,Mosaic
cc,8,512,260591928.0,10856364.0,0,Mosaic
cc,8,1024,262943583.99999997,10573764.0,0,Mosaic
cc,8,1024,262057006.0,10578919.0,0,Mosaic
cc,8,1024,261466935.99999997,10541172.0,0,Mosaic
cc,8,2048,265106081.00000006,10500234.0,0,Mosaic
cc,8,2048,264914021.99999994,10540884.0,0,Mosaic
cc,8,2048,265261848.00000006,10573250.0,0,Mosaic
cc,8,4096,268849808.0,10823550.0,0,Mosaic
cc,8,4096,268091241.00000003,10559897.0,0,Mosaic
cc,8,4096,268556932.0,10558411.0,0,Mosaic
cc,8,8192,273376932.0,10507786.0,0,Mosaic
cc,8,8192,272272131.00000006,10557443.0,0,Mosaic
cc,8,8192,273729811.9999999,10591292.0,0,Mosaic
cc,8,16384,274685498.99999994,10547909.0,0,Mosaic
cc,8,16384,275552425.0,10742968.0,0,Mosaic
cc,8,16384,276466463.0,11094204.0,0,Mosaic
