algo_name,thread,cache_mb,time,init_time,res,system
cc,8,20,5488071.999999999,1367537.0,0,Mosaic
cc,8,20,5441846.0,1373849.0,0,Mosaic
cc,8,20,5526831.999999999,1378376.0,0,Mosaic
cc,8,40,5712982.000000001,1378146.0,0,Mosaic
cc,8,40,5696661.0,1361433.0,0,Mosaic
cc,8,40,5670830.0,1364414.0,0,Mosaic
cc,8,60,5902990.999999999,1415534.0,0,Mosaic
cc,8,60,5827714.999999999,1377036.0,0,Mosaic
cc,8,60,5748578.0,1371395.0,0,Mosaic
cc,8,80,5971538.0,1338725.0,0,Mosaic
cc,8,80,5951219.999999999,1384369.0,0,Mosaic
cc,8,80,5957843.000000001,1398265.0,0,Mosaic
cc,8,100,5787549.999999998,1394646.0,0,Mosaic
cc,8,100,5750949.000000001,1396245.0,0,Mosaic
cc,8,100,5914442.999999999,1357690.0,0,Mosaic
cc,8,200,5925252.000000001,1399978.0,0,Mosaic
cc,8,200,5867537.000000001,1421377.0,0,Mosaic
cc,8,200,5940152.999999999,1396510.0,0,Mosaic
cc,8,500,6067650.0,1430107.0,0,Mosaic
cc,8,500,6108138.999999999,1430832.0,0,Mosaic
cc,8,500,6048674.0,1388680.0,0,Mosaic
cc,8,1000,6135696.999999999,1397033.0,0,Mosaic
cc,8,1000,6100698.0,1380701.0,0,Mosaic
cc,8,1000,6110570.999999999,1406412.0,0,Mosaic
