algo_name,thread,cache_mb,time,init_time,res,system
cc,8,128,81406810.0,6688629.0,0,Mosaic
cc,8,128,81062063.99999999,6685734.0,0,Mosaic
cc,8,128,80126186.00000001,6904673.0,0,Mosaic
cc,8,256,81798466.99999999,6479918.0,0,Mosaic
cc,8,256,82925098.99999999,6788672.0,0,Mosaic
cc,8,256,83350328.00000001,6447533.0,0,Mosaic
cc,8,512,83739705.0,6693983.0,0,Mosaic
cc,8,512,84906607.0,6838857.0,0,Mosaic
cc,8,512,84176924.0,6642094.0,0,Mosaic
cc,8,1024,85649942.99999999,6646898.0,0,Mosaic
cc,8,1024,85026786.00000001,6720597.0,0,Mosaic
cc,8,1024,85331289.0,6667872.0,0,Mosaic
cc,8,2048,86730408.0,6691306.0,0,Mosaic
cc,8,2048,86527413.99999999,6639638.0,0,Mosaic
cc,8,2048,86425875.0,6667557.0,0,Mosaic
cc,8,4096,87741623.00000001,6676467.0,0,Mosaic
cc,8,4096,86905990.00000001,6745875.0,0,Mosaic
cc,8,4096,87285021.00000003,6677849.0,0,Mosaic
cc,8,8192,87343406.0,6454759.0,0,Mosaic
cc,8,8192,87962479.0,6668103.0,0,Mosaic
cc,8,8192,88361921.0,6794497.0,0,Mosaic
cc,8,16384,89453673.0,6742773.0,0,Mosaic
cc,8,16384,89233987.0,6600226.0,0,Mosaic
cc,8,16384,89626894.00000001,6819419.0,0,Mosaic
