algo_name,thread,cache_mb,time,init_time,res,system
cc,8,1,28649610.999999974,1206490.0,0,Mosaic
cc,8,1,28851640.99999997,1178390.0,0,Mosaic
cc,8,1,28600306.999999993,1184331.0,0,Mosaic
cc,8,2,24474457.000000022,1162660.0,0,Mosaic
cc,8,2,22834151.000000034,1170850.0,0,Mosaic
cc,8,2,24138619.00000003,1189403.0,0,Mosaic
cc,8,3,25258359.00000003,1173931.0,0,Mosaic
cc,8,3,25872241.999999974,1159812.0,0,Mosaic
cc,8,3,25192114.99999998,1199377.0,0,Mosaic
cc,8,4,25666061.999999985,1174228.0,0,Mosaic
cc,8,4,25538511.99999998,1185681.0,0,Mosaic
cc,8,4,24642558.000000037,1186679.0,0,Mosaic
cc,8,5,25595379.99999997,1200566.0,0,Mosaic
cc,8,5,25718925.000000004,1186307.0,0,Mosaic
cc,8,5,26302698.00000002,1159915.0,0,Mosaic
cc,8,10,25674198.999999963,1186558.0,0,Mosaic
cc,8,10,25896368.999999985,1173301.0,0,Mosaic
cc,8,10,26180233.999999996,1172103.0,0,Mosaic
cc,8,25,25063463.000000034,1192355.0,0,Mosaic
cc,8,25,25348518.00000002,1176431.0,0,Mosaic
cc,8,25,25447550.99999998,1162932.0,0,Mosaic
cc,8,50,25153372.000000015,1163972.0,0,Mosaic
cc,8,50,22978468.000000026,1187391.0,0,Mosaic
cc,8,50,24211882.000000015,1177165.0,0,Mosaic
