algo_name,thread,cache_mb,time,init_time,res,system
bfs,8,128,128052736.00000003,5077366.0,0,Mosaic
bfs,8,128,131794008.99999996,4652881.0,0,Mosaic
bfs,8,128,128967243.99999997,4611359.0,0,Mosaic
bfs,8,256,131701809.00000001,4422377.0,0,Mosaic
bfs,8,256,131670335.00000001,4371492.0,0,Mosaic
bfs,8,256,129936875.0,4230087.0,0,Mosaic
bfs,8,512,132677844.00000007,4411456.0,0,Mosaic
bfs,8,512,131982044.00000003,4354800.0,0,Mosaic
bfs,8,512,132241051.0,4462499.0,0,Mosaic
bfs,8,1024,133248948.0,4372624.0,0,Mosaic
bfs,8,1024,132867065.99999999,4454110.0,0,Mosaic
bfs,8,1024,132274147.00000003,4591646.0,0,Mosaic
bfs,8,2048,134303422.0,4412088.0,0,Mosaic
bfs,8,2048,134313168.0,4404449.0,0,Mosaic
bfs,8,2048,133128230.00000001,4124982.0,0,Mosaic
bfs,8,4096,135926429.0,4490222.0,0,Mosaic
bfs,8,4096,135822280.99999997,4366315.0,0,Mosaic
bfs,8,4096,135312649.0,4380683.0,0,Mosaic
bfs,8,8192,137717213.99999997,4514419.0,0,Mosaic
bfs,8,8192,139350159.00000003,4374876.0,0,Mosaic
bfs,8,8192,139287699.99999994,4450011.0,0,Mosaic
bfs,8,16384,139253971.99999997,4169666.0,0,Mosaic
bfs,8,16384,138006484.99999997,4564861.0,0,Mosaic
bfs,8,16384,139855497.00000003,4417060.0,0,Mosaic
