algo_name,thread,cache_mb,time,init_time,res,system
bfs,8,128,470026861.99999994,4154140.9999999995,0,Mosaic
bfs,8,128,471318049.0,4112015.0000000005,0,Mosaic
bfs,8,128,472364641.0000001,4130742.0,0,Mosaic
bfs,8,256,475069986.0,4400888.0,0,Mosaic
bfs,8,256,473800036.99999994,4423403.0,0,Mosaic
bfs,8,256,473275920.9999999,4435214.0,0,Mosaic
bfs,8,512,477973461.99999994,4427940.0,0,Mosaic
bfs,8,512,480681676.0000001,4587233.0,0,Mosaic
bfs,8,512,476097052.99999994,4405382.0,0,Mosaic
bfs,8,1024,478484608.99999994,4552432.0,0,Mosaic
bfs,8,1024,479570706.0,4187002.9999999995,0,Mosaic
bfs,8,1024,480224098.0,4242394.0,0,Mosaic
bfs,8,2048,485152941.00000006,4124546.0000000005,0,Mosaic
bfs,8,2048,481301680.0,4256398.0,0,Mosaic
bfs,8,2048,479745760.9999999,4192285.0,0,Mosaic
bfs,8,4096,479930623.0,4138171.0000000005,0,Mosaic
bfs,8,4096,480919294.0,4344877.0,0,Mosaic
bfs,8,4096,483109977.0000001,4453037.0,0,Mosaic
bfs,8,8192,476234292.99999994,4387813.0,0,Mosaic
bfs,8,8192,477377102.99999994,4349312.0,0,Mosaic
bfs,8,8192,479491896.9999999,4429173.0,0,Mosaic
bfs,8,16384,473776193.9999999,4508216.0,0,Mosaic
bfs,8,16384,475775345.9999998,4579913.0,0,Mosaic
bfs,8,16384,471862474.99999994,4503520.0,0,Mosaic
